Meses,Promedio,ene--21,feb--21,mar--21,abr--21,may--21,jun--21,jul--21,ago--21,sep--21,oct--21,nov--21,dic--21,ene--22,feb--22,mar--22,abr--22,may--22,jun--22,jul--22,ago--22,sep--22,oct--22,nov--22,dic--22,ene--23,feb--23,mar--23,abr--23,may--23,jun--23,jul--23,ago--23,sep--23,oct--23,nov--23,dic--23,ene--24,feb--24,mar--24,abr--24,may--24,jun--24,jul--24,ago--24,sep--24,oct--24,Nov--24
m-36,0.30034,0.144801524,0.356428061,0.21823986,0.212117981,0.228462441,0.236799324,0.356500401,0.348422917,0.314635275,0.437277876,0.648549133,0.709762837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-37,0.30148,0.144801524,0.35658664,0.223652672,0.231625533,0.238093953,0.240124502,0.360659853,0.411705593,0.327460861,0.482599172,0.652435224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-38,0.31689,0.144801524,0.370987134,0.223652672,0.235626037,0.248539532,0.242526784,0.361384497,0.411705593,0.336238079,0.482599172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-39,0.33022,0.154383598,0.371288584,0.241882292,0.249436098,0.254865914,0.249476873,0.367520977,0.415071693,0.336238079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-40,0.34315,0.168626055,0.37137753,0.252421811,0.256329921,0.25749615,0.263289007,0.37259348,0.415071693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-41,0.35022,0.189092995,0.374986677,0.252421811,0.257068786,0.261219701,0.268165199,0.375570314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-42,0.36055,0.189092995,0.375307891,0.252421811,0.262532616,0.265908222,0.274079509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-43,0.37517,0.189092995,0.390065691,0.258791307,0.269860859,0.27316291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-44,0.38155,0.189092995,0.397433523,0.262812254,0.270090687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-45,0.38979,0.189092995,0.398194829,0.262812254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-46,0.40360,0.199441599,0.398956136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-47,0.40116,0.199441599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
